
####################################
8: 1.9722063541412354s : x = 302.63149187761854 , y = 178.08072509300754
9: 2.1990597248077393s : x = 302.9645358035133 , y = 178.65219644851769
10: 2.4386258125305176s : x = 302.9645358035133 , y = 178.65219644851769
11: 2.663816452026367s : x = 303.2357076243579 , y = 178.60786528669453
12: 2.894089460372925s : x = 302.63149187761854 , y = 178.08072509300754
13: 3.1188790798187256s : x = 302.63149187761854 , y = 178.08072509300754
14: 3.3612821102142334s : x = 302.63149187761854 , y = 178.08072509300754
15: 3.585109233856201s : x = 302.63149187761854 , y = 178.08072509300754
16: 3.8148717880249023s : x = 302.63149187761854 , y = 178.08072509300754
17: 4.041873216629028s : x = 302.63149187761854 , y = 178.08072509300754
18: 4.316632032394409s : x = 302.903661610885 , y = 178.0358135305739
19: 4.537599325180054s : x = 302.903661610885 , y = 178.0358135305739
20: 4.789531469345093s : x = 303.2357076243579 , y = 178.60786528669453
21: 5.015687942504883s : x = 303.2357076243579 , y = 178.60786528669453
22: 5.254942893981934s : x = 302.9645358035133 , y = 178.65219644851769
23: 5.482118844985962s : x = 302.9645358035133 , y = 178.65219644851769
24: 5.707192897796631s : x = 303.4482341607615 , y = 177.9474158229478
25: 5.930414915084839s : x = 302.63149187761854 , y = 178.08072509300754
26: 6.176466703414917s : x = 303.2357076243579 , y = 178.60786528669453
27: 6.403956651687622s : x = 303.2357076243579 , y = 178.60786528669453
28: 6.629674911499023s : x = 302.625829356407 , y = 178.38982265447342
29: 6.854943752288818s : x = 302.8974596215561 , y = 178.3449007382985
30: 7.085763454437256s : x = 303.4409532935182 , y = 178.25647949862451
31: 7.307013750076294s : x = 302.8974596215561 , y = 178.3449007382985
32: 7.5395965576171875s : x = 302.8512518694964 , y = 177.56745313286626
33: 7.805457592010498s : x = 303.4468962878052 , y = 178.10791554929415
34: 8.041532278060913s : x = 302.57826477336704 , y = 177.61245688086174
35: 8.302194833755493s : x = 303.1748515688437 , y = 178.15187887901922
36: 8.538332223892212s : x = 302.90288399467636 , y = 178.1963169491491
37: 8.76870846748352s : x = 302.8512518694964 , y = 177.56745313286626
38: 9.002402782440186s : x = 302.57826477336704 , y = 177.61245688086174
39: 9.223798274993896s : x = 302.57826477336704 , y = 177.61245688086174
40: 9.445829153060913s : x = 302.625829356407 , y = 178.38982265447342
41: 9.678781509399414s : x = 302.57826477336704 , y = 177.61245688086174
42: 9.924695014953613s : x = 302.8512518694964 , y = 177.56745313286626
43: 10.153654098510742s : x = 302.8974596215561 , y = 178.3449007382985
44: 10.38403844833374s : x = 302.8512518694964 , y = 177.56745313286626
45: 10.620651960372925s : x = 303.4468962878052 , y = 178.10791554929415
46: 10.866809844970703s : x = 302.8512518694964 , y = 177.56745313286626
47: 11.092912673950195s : x = 303.4468962878052 , y = 178.10791554929415
